,Language,Number of Job Posting
0,C,672
1,C#,188
2,C++,312
3,Java,3428
4,JavaScript,2248
5,Python,1173
6,Scala,138
7,Oracle,899
8,SQL Server,423
9,MySQL Server,952
10,PostgreSQL,86
11,MongoDB,208
